goodForGroups,city,state,stars,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,caters
1,Paradise Valley,AZ,4,full_bar,quiet,dressy,3,FALSE,TRUE,FALSE
1,Gilbert,AZ,3.5,none,average,casual,1,FALSE,FALSE,TRUE
1,Chandler,AZ,3.5,none,quiet,casual,1,TRUE,FALSE,TRUE
1,Charlotte,NC,3.5,full_bar,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,4,none,quiet,casual,2,FALSE,TRUE,TRUE
1,Montreal,QC,4,full_bar,average,casual,1,FALSE,FALSE,FALSE
1,Pittsburgh,PA,3.5,none,average,casual,2,TRUE,FALSE,TRUE
0,North Las Vegas,NV,3.5,none,average,casual,1,TRUE,FALSE,FALSE
1,Sun Prairie,WI,2,none,average,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,4,full_bar,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,4,beer_and_wine,quiet,casual,2,TRUE,FALSE,FALSE
1,Phoenix,AZ,4,none,quiet,casual,2,TRUE,FALSE,FALSE
1,Las Vegas,NV,4,full_bar,average,casual,2,FALSE,TRUE,FALSE
1,Montral,QC,3.5,full_bar,loud,casual,3,FALSE,FALSE,FALSE
1,Middleton,WI,4,none,average,casual,1,FALSE,FALSE,FALSE
1,Surprise,AZ,3,full_bar,average,casual,2,FALSE,TRUE,TRUE
0,Las Vegas,NV,3.5,none,average,casual,1,FALSE,TRUE,FALSE
1,Tempe,AZ,4,full_bar,average,casual,2,FALSE,TRUE,FALSE
1,Charlotte,NC,4,beer_and_wine,average,casual,2,FALSE,TRUE,FALSE
1,Montral,QC,4,none,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,3,none,average,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,3.5,full_bar,average,casual,1,FALSE,TRUE,TRUE
1,Pittsburgh,PA,3.5,none,average,casual,2,FALSE,FALSE,TRUE
1,Montral,QC,4,none,quiet,casual,2,FALSE,TRUE,FALSE
1,Gila Bend,AZ,4,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Las Vegas,NV,3,none,quiet,casual,1,TRUE,TRUE,TRUE
1,Chandler,AZ,3.5,full_bar,average,casual,2,FALSE,TRUE,FALSE
1,Saint-Laurent,QC,4.5,beer_and_wine,quiet,dressy,3,FALSE,FALSE,FALSE
1,Chandler,AZ,4,beer_and_wine,quiet,casual,1,FALSE,TRUE,TRUE
1,Kirkland,QC,2.5,none,average,dressy,3,FALSE,TRUE,FALSE
0,Phoenix,AZ,2.5,none,average,casual,1,FALSE,TRUE,FALSE
1,Kitchener,ON,3.5,beer_and_wine,average,casual,2,FALSE,TRUE,FALSE
1,Sun Prairie,WI,2.5,none,loud,casual,2,TRUE,TRUE,TRUE
1,Charlotte,NC,3.5,full_bar,average,casual,2,FALSE,FALSE,TRUE
0,Phoenix,AZ,3,none,quiet,casual,1,TRUE,TRUE,FALSE
1,Tempe,AZ,4,none,quiet,casual,1,FALSE,TRUE,FALSE
0,Phoenix,AZ,3,none,loud,casual,1,FALSE,TRUE,FALSE
1,North Las Vegas,NV,3.5,beer_and_wine,quiet,casual,1,TRUE,TRUE,TRUE
0,Phoenix,AZ,2.5,none,average,casual,1,FALSE,FALSE,TRUE
1,Scottsdale,AZ,3,none,average,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,3.5,none,very_loud,casual,1,FALSE,FALSE,FALSE
1,Las Vegas,NV,3.5,none,quiet,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,3,full_bar,loud,casual,3,FALSE,TRUE,FALSE
1,Chandler,AZ,4,full_bar,average,casual,2,FALSE,TRUE,TRUE
1,Scottsdale,AZ,4.5,full_bar,average,dressy,3,FALSE,TRUE,TRUE
1,Las Vegas,NV,4,none,average,casual,2,FALSE,TRUE,FALSE
1,Mesa,AZ,4,none,average,casual,2,TRUE,TRUE,TRUE
1,Las Vegas,NV,4,none,average,casual,2,FALSE,TRUE,FALSE
1,Las Vegas,NV,3.5,none,average,casual,1,TRUE,TRUE,TRUE
1,Chandler,AZ,3.5,full_bar,average,casual,2,FALSE,TRUE,TRUE
1,Las Vegas,NV,4,full_bar,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,3.5,full_bar,average,casual,2,FALSE,TRUE,TRUE
1,Las Vegas,NV,4.5,none,loud,casual,1,FALSE,TRUE,TRUE
1,Scottsdale,AZ,3.5,full_bar,average,casual,2,FALSE,TRUE,TRUE
1,Tempe,AZ,3,beer_and_wine,average,casual,2,TRUE,FALSE,TRUE
0,Montreal,QC,4.5,none,quiet,casual,1,FALSE,TRUE,FALSE
1,Pittsburgh,PA,3,none,quiet,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,3,full_bar,loud,casual,3,FALSE,TRUE,TRUE
1,Las Vegas,NV,3.5,none,very_loud,casual,1,FALSE,FALSE,FALSE
1,Montral,QC,2.5,none,average,casual,1,FALSE,TRUE,FALSE
1,Tolleson,AZ,3.5,beer_and_wine,average,casual,1,FALSE,FALSE,FALSE
1,Tempe,AZ,3,none,very_loud,casual,2,TRUE,FALSE,TRUE
1,Phoenix,AZ,4.5,beer_and_wine,average,casual,2,FALSE,TRUE,TRUE
0,Edinburgh,EDH,4,full_bar,average,casual,2,FALSE,TRUE,FALSE
1,Madison,WI,4,full_bar,loud,casual,1,TRUE,TRUE,FALSE
1,Phoenix,AZ,4,beer_and_wine,very_loud,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,2.5,none,average,casual,1,TRUE,TRUE,TRUE
1,Mesa,AZ,3.5,full_bar,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,4,none,quiet,casual,1,FALSE,TRUE,FALSE
1,Chandler,AZ,3.5,full_bar,loud,casual,2,TRUE,FALSE,TRUE
1,Coolidge,AZ,4.5,full_bar,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,3.5,full_bar,average,casual,2,FALSE,TRUE,FALSE
0,Las Vegas,NV,3,none,average,casual,1,FALSE,FALSE,FALSE
1,Montreal,QC,2,full_bar,average,casual,2,FALSE,TRUE,TRUE
1,Glendale,AZ,4.5,none,quiet,casual,1,FALSE,TRUE,FALSE
1,Champaign,IL,4,full_bar,average,dressy,3,FALSE,TRUE,FALSE
